Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.9750699702633,32.0939243286777,32.4523280565943,32.3833531164407,32.1194116033475,31.596238091031,31.6128216820061,32.0647911864237,31.528577865974,30.6710080721744,30.3964442055154,28.9516705787219,28.0694422377123,28.10893687151,27.8410111544177,26.7747241232901,26.2851657561442,27.5471027442599,27.0665314213048,26.180605466364
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,India,IND,16.597596442222,15.6762601605127,15.8007998170807,15.9157121078439,16.764138131312,17.8658505968554,17.5963408006414,16.5185785304333,15.7193160164939,15.1805367132738,15.9270230184323,15.3070212831531,15.5587017262956,15.587386648646,15.8272457405027,15.9730170446131,17.3036533311925,16.8645677754068,17.0986741489578,17.1435776672846,17.0299342498624,16.1393374446237,15.816923007102,15.2530226925869,15.0655701107533,15.5838545863754,15.1622371332496,15.018238750171,14.881530667305,13.4558075633363,14.1204853576944,14.3770288531284,13.1224776705138,12.8387897885217
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,United States,USA,..,..,..,..,..,..,..,16.0871819838574,15.7743273531839,15.4590709001978,15.1150690882174,13.9193104206237,13.4528837394598,13.3165025029569,13.1741780601703,12.9833217030159,12.9907263775984,12.7697556443079,12.2167268184361,11.6987879252113,11.9060799107128,11.9472438629074,11.8575622570978,11.7719128367022,11.6174420373125,11.6055807430427,11.1581029329942,11.1814907295506,11.2802494089516,10.9858873088849,10.4982254800579,10.5837429051441,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
