Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,China,CHN,142.365653138458,147.998762481225,140.707989290928,126.081538824897,134.747265483602,140.359306759892,132.866724381081,132.905267912982,125.913691312904,123.601402758388,119.973871975485,118.125187360952,125.729831846451,112.272776857806,109.75432319526,114.500634434033,109.319755385562,100.601694779151,98.1899672140489,95.5971771350347,93.0317144481009,93.5082924263443,93.9837876273356,92.6934686160538,87.4530852563535,84.766663212593,91.1512611991474,100.445150527601,103.146593673846,82.5133297829776,87.82104751252,83.4204045794174,..,..
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,India,IND,132.502493379837,128.751462074966,124.391689432834,135.275568379785,129.282937810091,122.323912218476,128.156746926633,122.984938510516,122.865994285005,126.089684435893,113.68746025741,118.59459311618,113.401275032345,119.961055081536,121.48632440882,132.896008909816,152.551053782092,172.230339025303,188.965017924367,181.231008642721,171.491764074282,171.196237140606,159.54027888951,149.517841984085,154.546113601489,149.441673137188,144.728520036811,146.530556014768,152.701187574258,156.483317038389,176.042247195875,160.62028102616,..,..
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,United States,USA,76.8450926284561,73.0166802824594,73.8439282397471,78.0950270800628,75.9099199969111,77.3015095947161,74.9435460311573,83.4668979833265,84.8611554054349,95.3829620714631,106.15279564166,102.811241348103,108.69341486428,130.333090182729,120.358072561072,118.474621289472,128.148696761254,117.530450671532,108.366007404721,135.3823402813,128.711123778198,131.050216227053,133.628071149749,127.151943147327,121.210471934582,123.115598940024,117.267979815222,110.404233304274,109.304070775873,105.437340325252,106.467421211241,112.265836006374,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
