Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,China,CHN,220.304523424879,237.51031031031,237.607811228641,206.754328112119,238.956089478045,297.543067402576,301.527581092518,299.453331569209,300.992527690388,306.107833727809,287.448487903226,295.448526102869,333.508933120848,328.658254602381,352.264351239697,375.104993176394,374.765136923592,385.314639755194,372.658105367898,383.967595807046,425.239347785733,444.649804769127,457.333238953802,458.516151953076,477.579278064343,480.242062821883,474.319184051475,467.319479918298,450.371816833147,399.598971711768,385.322990859199,374.805087542026,..,..
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,India,IND,73.523024122257,77.9993197779167,74.7016643516527,76.1767372344482,83.4558929395478,85.702855272341,89.0423288309269,100.172560813361,104.067951601212,112.171020344774,103.786118188032,108.182198658974,100.329055300688,105.177203862352,115.271510073208,127.614591957051,136.403921543911,142.835225474934,153.349390803506,167.457295914491,179.035876924253,180.748291172705,163.122021642201,156.495698086192,163.498079418137,171.038212936265,166.003057888777,170.569144633223,176.071313435643,186.456666096266,210.657379533459,193.245040717537,..,..
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,United States,USA,100.441282287425,100.79727853896,102.80303938505,108.885530347801,108.057701647255,108.772800444349,112.872082555892,113.862860263976,112.34110248781,111.86022626705,108.751459274212,110.130264595211,111.881760060586,124.189786407062,119.230505964126,115.915929274328,126.65110394555,120.381693781679,99.9746373862011,118.931868033771,124.700400401987,130.227726557604,134.897690369821,135.555101013543,127.975219107325,129.026289363663,127.815233251268,127.716580087843,129.154546878091,128.840691836021,131.152168422334,128.740929573822,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
