Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,62.3413783151308,79.9297533528531,34.2611184412349,31.7658609678923,57.3982850273413,67.8599791892689,86.5866890253679,99.6891756523615,105.983119794166,108.458543224852,117.721046974955,119.391393823767,160.536099662391,200.887343913492,251.839641153722,290.848050701713,331.094072844704,409.362840457539,508.778446517509,539.696971805164,392.293617225978,308.731219860373,295.03728433131,262.102630204063,219.302852538992,255.31058222747,219.085442069193,189.13045865071,161.514934701141,152.443123731408,144.320949030118,126.854795528111,138.434322085297,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,6.75373608549618,8.97557783016512,10.867260825399,16.0676385248745,24.7408254960678,24.3736131718362,26.4876066129941,30.1781699926886,31.1658971217028,36.0848593077683,40.5996797790178,49.2972814106673,67.7196714862146,87.2587269811448,106.459372005668,113.721097540285,111.612105248727,135.539270475798,113.346273242114,111.068783299851,103.461319152171,89.3361512583746,76.5267053788125,69.7708394619796,71.0548132506625,73.7878403060619,79.3986952137364,80.6554701626196,76.5897509037982,82.6123941762792,104.468842983349,104.329764836502,91.9650191839871,..
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
