Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Total reserves in months of imports,FI.RES.TOTL.MO,China,CHN,8.50061506335467,10.1087909129257,3.76716826644376,3.15485276716324,5.8589383126685,6.32825586255357,7.71067045739525,15.3584570935982,15.3155648378232,13.6364945397097,10.941358639692,12.6317565159013,15.2992330754394,11.442740318432,12.9044006224391,14.1697653869492,15.3932049867437,18.0957914112379,19.1459316518489,25.3897624622569,21.8294857327459,19.1307572380526,19.0830480218235,19.5432820448992,18.9654201864734,17.9357848551809,16.7160982737837,15.4175323187252,13.1417391678264,13.754177548943,14.6817028192023,11.6019861902875,11.1266298868594,11.7818516302196
Total reserves in months of imports,FI.RES.TOTL.MO,India,IND,2.0364027734552,2.92296631274636,3.37116986123404,5.07094897356214,6.8805542264174,5.13385971679427,5.00904589274725,5.39180134948692,5.67437685311531,6.31148133710289,6.12147979448929,7.45295243694093,10.3730834871592,12.2832820147208,11.3051095119993,8.51847317184614,8.91992866511893,11.1391919314526,7.7142526569414,9.7737111431445,7.76063411026839,6.18879010347658,5.90371509588661,6.02774649537524,6.59913308020171,8.00309182929652,8.43013905768235,8.16271866943629,6.90105548512365,8.27365940048396,12.9323281065785,9.84238574452328,7.00951210544359,7.9866872808517
Total reserves in months of imports,FI.RES.TOTL.MO,United States,USA,2.73557589265656,2.60169338107099,2.31231476555185,2.39765174502403,2.06391324712795,1.95523553618241,1.66275864603053,1.2572687990174,1.29127119690474,1.07377331452326,0.854272096906953,0.938134144021971,1.11647810305723,1.19878399570069,1.05559111218244,0.903588941772187,0.920734980795974,1.06599499526028,1.07901356702484,1.92028077353965,2.00331890203891,1.96135892377522,2.04662420386995,1.59421468829977,1.48004639876335,1.34985594012155,1.44075451131827,1.48411996805483,1.36035070682106,1.55103935340287,2.10032469141356,1.97632754704728,1.67827821234471,1.79643845555607
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
