Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,China,CHN,10.61087782865,10.8471167581194,9.38499580272947,10.2438423904561,8.13551420499848,8.98416222815204,8.32007878237502,11.5007594228784,8.70614978223589,9.17518947476203,7.10365634221398,6.09499146981097,5.08765834133732,3.02695463642206,1.27949109885197,1.09628764086999,0.850106942984024,0.645147457761912,0.585786185578993,0.63504326598963,0.768929630666259,0.657141959874656,0.446124159147646,0.480039992306932,0.544490697183815,1.34005981208142,0.763737304766045,0.691453049447116,0.734223632345877,1.01216063370734,1.13417715479413,1.29780022208048,1.87991569124785,..
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,India,IND,27.1649347717067,26.7618728355772,25.4384275810079,25.1974013511108,29.7222092147053,30.5446476375183,25.4117956076489,24.5403661403625,22.4906010281906,15.5898678884257,15.3785252750562,12.7873723803292,16.0936630679547,20.4370578603135,7.72064797144166,9.68673187832864,3.04097340030301,4.08674197262603,4.67088966817266,2.42993180000253,1.74480879947485,1.7610880638326,1.68235421098899,2.26107481576509,2.70826109311248,3.08583603985883,5.06408163934111,2.78304119910956,4.23273227574918,2.90807415383996,5.12885262296047,2.43281784750629,2.24606582150958,..
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
