Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,China,CHN,1.95039548296295,2.1619220972275,2.0178293228644,2.2909420748735,1.97713726397004,2.08484940433479,1.85094149785744,1.94048947403403,1.820877209919,2.46234092219416,2.22367176548088,1.89356666167423,2.13600300590193,2.27382566254585,1.19482701238616,1.21172086043011,1.00291081957646,0.896095119395409,0.721290268604901,0.783489954477671,0.85961091887874,0.83942813130371,0.848723027911085,0.813211773651031,0.777973466688824,1.15076657916201,1.50077197062384,1.67799262950737,1.74165632634131,1.93672227201723,1.88336622365327,1.90607221634974,2.40867023981984,..
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,India,IND,2.42896753511004,2.79985168851234,2.56225888101984,2.87896747679776,3.23443447652972,3.68764120648438,3.00746387880029,2.95321030962633,2.82088700527263,2.18097259538234,2.30193247208852,2.44584321314826,3.01941298183046,4.27097135231166,2.48636111923734,2.93712138963563,1.86526396401862,3.25206703587721,2.59909766161628,1.23889459625915,1.47271485113113,1.62038919564399,1.68674506539576,2.11299315604157,4.60624170250528,2.3885645853738,3.39347044179047,1.95306263787646,2.38022646268864,1.82517493462673,2.89385094350122,1.57492606332922,1.93653224421573,..
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
