Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,China,CHN,1117173686049.8,1261127580788.92,1471095995173.71,1710632766867.25,1975403042520.81,2205922575486.01,2473290823987.59,2756575778359.96,2991879227942.7,3276473543210.2,3639295562025.58,4022423964124.14,4476812145167.26,5043796857552.61,5723515413162.85,6546437115117.82,7646438667782.58,9008385227844.28,10107778077318.6,11038741920461.8,12328903441552.9,13715341860808.5,15177598896780.6,16241642397322.3,17445351113071.7,18129538824739.2,19169812362362,20567696024679.6,22355235407453.8,24232656456410.3,25044516316641.5,28620861782223.2,31576043076313.8,34388533588300.2
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,India,IND,1034601773324.6,1078572360679.66,1163533423834.7,1249611099905.39,1362740647377.56,1499043743936.76,1644728102445.43,1742312865783.07,1871045231201.09,2066798305785.31,2188467536995.54,2350329816433.71,2482577766465.38,2728605937030.76,3025177949276.57,3366674483991.45,3747899054486.65,4159475040138.85,4362653235093.54,4734672267450.51,5174606326215.35,5568974800576.6,6090391152565.54,6416831228693.33,6732247711204.03,7120994309946.25,7706181204020.55,8264361849010.26,9131972106248.12,9837436260443.67,9639773300095.94,11250341278207.3,12858237993387,14324038077262.9
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,United States,USA,5902482000000,6097007000000,6435893000000,6734288000000,7170956000000,7575542000000,8046960000000,8590598000000,9136625000000,9691392000000,10385197000000,10749023000000,11056572000000,11539140000000,12322009000000,13170993000000,14071835000000,14557597000000,14723881000000,14436590000000,15185160000000,15861958000000,16640301000000,17140708000000,17984237000000,18608138000000,18983368999999.9,19837150000000.1,20883383000000,21760847000000,21479588000000,23777599999999.9,25926000000000.1,27525099999999.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
