Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,China,CHN,34475661158.6121,48165019103.1198,24852636915.1072,27348104116.5518,57781337884.3961,80288427869.5104,111728900039.4,146448007873.157,152842955596.126,161414049491.999,171763098225.843,220056777617.14,297739475705.212,416199411548.593,622948544349.601,831409619695.566,1080755682869.9,1546364660543.37,1966037431070.11,2452899062067.79,2913711711315.37,3254674063563.49,3387512973773.81,3880368265252.93,3900039302991.09,3405253363888.14,3097658421378.4,3235681607213.04,3168216331199.08,3222894578036.36,3357240875433.72,3427931394628.85,3306839412813.78,3449544415518.98
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,India,IND,5637446363.83185,7615987475.11472,9538786025.16566,14674627089.9414,24220928468.8194,22864636916.1009,24889364657.4122,28385372945.8609,30646563663.4809,36005295926.4425,41059061574.6632,49050841138.7213,71607865093.6969,103737208055.967,131631143125.845,137824828256.285,178049790065.97,276578100117.408,257422725614.879,284682887897.586,300480168786.346,298739463090.872,300425517446.546,298092478740.581,325081035127.891,353319061013.224,361694321972.036,412613792019.924,399167159226.682,463469902152.507,590227359928.896,638484779930.836,567298153917.14,627792750126.715
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,United States,USA,173093564607.844,159272850288.003,147525874735.105,164620171357.293,163590579764.938,175995426883.436,160660160546.204,134836033327.141,146006089507.341,136450101867.481,128399516602.723,130076677027.985,157762914914.241,184024332193.35,190464790633.305,188259141662.468,221088725058.691,277548941768.855,294045673779.627,404098925258.353,488928508742.44,537267041107.474,574268084132.447,448508920737.711,434416188744.625,383728497570.133,405942428719.749,451285263406.24,449907088828.546,516700583371.247,628369715338.322,716152260973.711,706644215998.894,773426187289.128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
