Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,India,IND,0.0737400205365026,0.0272255401825463,0.0959419487133591,0.197056426383431,0.297386581392873,0.594986329567619,0.617479351603705,0.860208959660143,0.625286204187866,0.472644191458928,0.765211694280819,1.05638020993358,1.01156946489919,0.605887857091794,0.765596855110284,0.886098378458823,2.13016842534495,2.07339404668754,3.62052323540171,2.6515903323548,1.6350340943491,2.00206346299866,1.31293453035285,1.5162764665976,1.69565958990744,2.09211521443308,1.93736412244347,1.50731583255886,1.5582148380149,1.7848263395712,2.40620322673673,1.41217101040886,1.48921120524665,0.790728300354094
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,China,CHN,0.966308310992784,1.13883773180262,2.61316219284371,6.18688207614214,5.98718616500824,4.88086319996149,4.65181266315599,4.72534384272724,4.43550102416557,3.74898123668431,3.47512590256774,3.5129885385098,3.60908113491298,3.48741889929233,3.48364153462976,4.55426348223621,4.508600502911,4.40098334219288,3.73361071056151,2.56889430733347,4.00354456866117,3.70880651655626,2.82710533551379,3.03985486260271,2.55924761041391,2.19217773086009,1.55563699883085,1.34912369633213,1.69389428446517,1.31071593247948,1.72317554862906,1.93078622294539,1.06367348813082,0.24011353126217
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,United States,USA,1.19450410722934,0.56104703230478,0.464853986617542,0.732369583756588,0.767643589421284,0.904218188320061,1.20969310261879,1.4240659805968,2.32984953795271,3.244143080406,3.40578123865959,1.63009976725416,1.01613965201918,1.0221840098809,1.74869094348654,1.09166231632209,2.16033590475335,2.39469075656401,2.30937838146355,1.11260018343609,1.75453192115262,1.68911235141732,1.54020833064168,1.70686814034716,1.43033863092168,2.79548220201356,2.52268117379751,1.94177554246862,1.03945408799819,1.46823196172925,0.642809742554384,2.01663293567767,1.58864311787381,1.27475175830066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
