Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,China,CHN,-2657000000,-3453000000,-7156000000,-23115000000,-31787000000,-33849200000,-38066000000,-41674000000,-41117000000,-36978000000,-37483300000,-37357000000,-46789569179,-49444853744,-60144670468,-90379127564,-1.0015E+11,-1.39095E+11,-1.14792E+11,-87167067370,-1.8575E+11,-2.31652E+11,-1.7625E+11,-2.17958E+11,-1.44968E+11,-68098649765,41674876170,-27790987920,-92338473352,-50259822365,-99374807720,-1.65277E+11,19846371667,1.42574E+11
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,India,IND,0,-73537638.39,-276512439,-550019384.4,-890688166,-2026439031,-2186732315,-3464411052,-2587058630,-2089233597,-3074684332,-4073961343,-3947895992,-2444138426,-3592188066,-4628652265,-5992285935,-8201628958,-24149749830,-19485789183,-11428785746,-23890659988,-15442447343,-26388082470,-22890162761,-36495216491,-39411278940,-28875941053,-30699661201,-37469945322,-53239697391,-27488543123,-35408008686,-14191646754
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,United States,USA,-11290000000,14720000000,28460000000,32570000000,34050000000,40980000000,5360000000,-770000000,-36390000000,-64964000000,-1.62755E+11,-26455000000,67930000000,78112000000,1.60363E+11,-89753000000,-14662000000,1.77277E+11,2491000000,1.51514E+11,85789000000,1.73119E+11,1.26895E+11,1.04665E+11,1.35673E+11,-2.09363E+11,-1.74573E+11,28590000000,-3.45435E+11,-2.01057E+11,1.45265E+11,-1.33851E+11,-20472000000,1.053E+11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
