Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,3.3245772317122,3.46189976557133,1.49935919652139,-2.6103403242571,1.22412413140785,0.220343555621483,0.838553487288174,3.84389807123235,3.05832285147092,1.93006628986661,1.69386988017616,1.29916293453359,2.40874595185226,2.59303061888478,3.52576646717465,5.79093366365202,8.4241658861336,9.9478892326235,9.15406370401769,4.76815553888908,3.9067339999217,1.80223714352334,2.52446164533542,1.54855438304032,2.25329351831007,2.64901137604426,1.70330002824602,1.53264496925769,0.173667284672295,0.720658984389148,1.69417196526513,1.98022814428178,2.47947448820312,1.42169357029657
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,-2.19193586906134,-1.58891131223691,-1.55624498023457,-0.67161886953087,-0.512193818555587,-1.54413181166043,-1.51595497295368,-0.713014326393887,-1.63832533358649,-0.703547232193243,-0.982342580017139,0.290495460210208,1.37093793900847,1.44355773291234,0.110018010197153,-1.25350400207393,-0.988988302952292,-0.66371764877261,-2.58337749259837,-1.95146209111801,-3.25348368945179,-3.42928468605951,-5.00488971805156,-2.64566711733909,-1.33950896483403,-1.06754907167993,-0.527880606037402,-1.43948820320981,-2.42697545810581,-1.04961203910048,1.22362111042809,-1.05524166809382,-2.35728753316098,-0.852019621789705
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,United States,USA,-1.32399955459737,0.0462965293516911,-0.791448803104507,-1.23616054042839,-1.66925292387951,-1.48644935848023,-1.54496736206885,-1.64061377884972,-2.37273907218914,-2.97598256993022,-3.92088461637514,-3.72407526075822,-4.17334150234402,-4.55897769378821,-5.20485224269137,-5.74598267055862,-5.91102091022869,-5.08872735734161,-4.71585990444596,-2.62283632200348,-2.87064145448882,-2.91862065322661,-2.57236847367136,-2.01090797096302,-2.10117617206317,-2.2325584903738,-2.10699725119707,-1.87442427129943,-2.12935714812701,-2.05259928550171,-2.81953013068079,-3.67882876817446,-3.93139665200286,-3.30901703468832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
